,Coeficiente,Error estandar,z,p-valor
Intercept,-0.00011712516723989508,0.0011312854309402786,-0.10353281677334551,0.9175401054126535
d_X1_tasa_referencia,0.07996015348428835,0.05377152350256697,1.4870352981624406,0.13700548846579505
d_X2_treasury_10a,0.44024865572169425,0.03244983367838911,13.56705430557847,6.27953499676675e-42
d_X3_riesgo_pais,0.5289581715960485,0.07270775313709857,7.275127462660536,3.460935116892174e-13
d_X4_tasa_interbancaria,0.022682702958176874,0.01394228504985538,1.6268999577233687,0.10375834697233677
