,Coeficiente,Error estandar,t,p-valor
Intercept,7.097808305550931,1.026053792107445,6.917579136833083,4.594267533439604e-12
tasa_referencia,-0.7335094525500798,0.1942940234806211,-3.7752548401121566,0.00015984416451751072
prima_plazo,-0.9143698743049059,0.28088177195688835,-3.255354977058638,0.001132507183181049
riesgo_pais_pct,-0.43191173802341154,0.7650294237745301,-0.5645687925209852,0.5723670968328296
spread_bancario,0.5274516288770495,0.5259063970249842,1.0029382260052484,0.3158906674842261
