Fecha,Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)
08Ago06,7.23
09Ago06,7.17
10Ago06,7.15
11Ago06,7.15
14Ago06,7.15
15Ago06,7.08
16Ago06,7.08
17Ago06,7.03
18Ago06,7.03
21Ago06,7.03
22Ago06,7.03
23Ago06,7.02
24Ago06,7.05
25Ago06,7.08
28Ago06,7.08
29Ago06,7.08
30Ago06,n.d.
31Ago06,7.03
01Set06,7.02
04Set06,7.02
05Set06,7.02
06Set06,7.02
07Set06,6.99
08Set06,6.99
11Set06,6.99
12Set06,6.99
13Set06,6.97
14Set06,6.97
15Set06,6.92
18Set06,6.92
19Set06,6.92
20Set06,6.89
21Set06,6.89
22Set06,6.92
25Set06,6.93
26Set06,6.93
27Set06,6.91
28Set06,n.d.
29Set06,6.90
02Oct06,6.88
03Oct06,6.88
04Oct06,6.88
05Oct06,n.d.
06Oct06,6.85
09Oct06,6.85
10Oct06,6.63
11Oct06,6.58
12Oct06,6.58
13Oct06,6.58
16Oct06,6.58
17Oct06,6.58
18Oct06,6.58
19Oct06,6.58
20Oct06,6.58
23Oct06,6.58
24Oct06,6.58
25Oct06,6.58
26Oct06,6.58
27Oct06,6.58
30Oct06,6.58
31Oct06,6.58
01Nov06,n.d.
02Nov06,6.58
03Nov06,6.55
06Nov06,6.55
07Nov06,6.53
08Nov06,6.53
09Nov06,6.45
10Nov06,6.40
13Nov06,6.40
14Nov06,6.40
15Nov06,6.38
16Nov06,6.40
17Nov06,6.40
20Nov06,6.40
21Nov06,6.40
22Nov06,6.39
23Nov06,6.40
24Nov06,6.43
27Nov06,6.43
28Nov06,6.43
29Nov06,6.46
30Nov06,6.49
01Dic06,6.47
04Dic06,6.43
05Dic06,6.33
06Dic06,6.30
07Dic06,6.30
08Dic06,n.d.
11Dic06,6.30
12Dic06,6.30
13Dic06,6.30
14Dic06,6.25
15Dic06,6.23
18Dic06,6.23
19Dic06,6.23
20Dic06,6.23
21Dic06,6.20
22Dic06,6.20
25Dic06,n.d.
26Dic06,6.20
27Dic06,6.20
28Dic06,6.23
29Dic06,6.23
01Ene07,n.d.
02Ene07,6.23
03Ene07,6.18
04Ene07,6.18
05Ene07,6.18
08Ene07,6.18
09Ene07,6.18
10Ene07,6.18
11Ene07,6.18
12Ene07,6.18
15Ene07,6.15
16Ene07,6.15
17Ene07,6.15
18Ene07,6.15
19Ene07,6.15
22Ene07,6.15
23Ene07,6.22
24Ene07,6.25
25Ene07,6.27
26Ene07,6.30
29Ene07,6.30
30Ene07,6.30
31Ene07,6.30
01Feb07,6.28
02Feb07,6.27
05Feb07,6.27
06Feb07,6.25
07Feb07,6.25
08Feb07,6.23
09Feb07,6.22
12Feb07,6.22
13Feb07,6.22
14Feb07,6.22
15Feb07,6.22
16Feb07,6.22
19Feb07,6.18
20Feb07,6.16
21Feb07,6.16
22Feb07,6.16
23Feb07,6.08
26Feb07,6.03
27Feb07,6.03
28Feb07,6.04
01Mar07,6.01
02Mar07,6.01
05Mar07,6.01
06Mar07,6.01
07Mar07,5.98
08Mar07,5.98
09Mar07,5.98
12Mar07,5.98
13Mar07,5.98
14Mar07,5.98
15Mar07,5.98
16Mar07,5.98
19Mar07,5.98
20Mar07,5.98
21Mar07,5.98
22Mar07,5.98
23Mar07,5.87
26Mar07,5.87
27Mar07,5.87
28Mar07,5.87
29Mar07,5.87
30Mar07,5.87
02Abr07,5.87
03Abr07,5.87
04Abr07,5.89
05Abr07,n.d.
06Abr07,n.d.
09Abr07,5.84
10Abr07,5.84
11Abr07,5.84
12Abr07,5.73
13Abr07,5.70
16Abr07,5.72
17Abr07,5.72
18Abr07,5.72
19Abr07,5.72
20Abr07,5.63
23Abr07,5.63
24Abr07,5.63
25Abr07,5.63
26Abr07,5.63
27Abr07,5.63
30Abr07,5.63
01May07,n.d.
02May07,5.63
03May07,n.d.
04May07,5.63
07May07,5.73
08May07,5.73
09May07,5.72
10May07,5.69
11May07,5.70
14May07,5.72
15May07,5.72
16May07,5.71
17May07,5.70
18May07,5.70
21May07,5.67
22May07,5.68
23May07,5.69
24May07,5.69
25May07,5.70
28May07,n.d.
29May07,5.68
30May07,5.69
31May07,5.70
01Jun07,5.70
04Jun07,5.67
05Jun07,5.72
06Jun07,5.75
07Jun07,5.77
08Jun07,5.90
11Jun07,5.92
12Jun07,5.92
13Jun07,5.95
14Jun07,5.94
15Jun07,5.94
18Jun07,5.91
19Jun07,5.91
20Jun07,5.91
21Jun07,5.91
22Jun07,5.90
25Jun07,5.90
26Jun07,5.94
27Jun07,5.95
28Jun07,5.95
29Jun07,n.d.
02Jul07,5.95
03Jul07,5.94
