fecha,embig_peru
2011-01-01,145.57143
2011-02-01,146.1
2011-03-01,156.78261
2011-04-01,192.90476
2011-05-01,187.22727
2011-06-01,192.36364
2011-07-01,170.85714
2011-08-01,199.56522
2011-09-01,237.45455
2011-10-01,231.95238
2011-11-01,214.18182
2011-12-01,216.31818
2012-01-01,219.40909
2012-02-01,199.2381
2012-03-01,165.59091
2012-04-01,164.14286
2012-05-01,180.52174
2012-06-01,188.42857
2012-07-01,162.59091
2012-08-01,133.13043
2012-09-01,124.0
2012-10-01,108.04348
2012-11-01,122.95455
2012-12-01,117.19048
2013-01-01,110.04348
2013-02-01,127.05
2013-03-01,140.28571
2013-04-01,132.54545
2013-05-01,133.73913
2013-06-01,179.8
2013-07-01,175.69565
2013-08-01,190.54545
2013-09-01,183.38095
2013-10-01,172.86957
2013-11-01,183.42857
2013-12-01,176.54545
2014-01-01,176.0
2014-02-01,182.25
2014-03-01,167.2381
2014-04-01,153.54545
2014-05-01,149.40909
2014-06-01,145.42857
2014-07-01,146.34783
2014-08-01,157.28571
2014-09-01,149.68182
2014-10-01,170.26087
2014-11-01,165.35
2014-12-01,181.91304
2015-01-01,201.22727
2015-02-01,182.85
2015-03-01,184.45455
2015-04-01,176.95455
2015-05-01,165.90476
2015-06-01,176.5
2015-07-01,186.69565
2015-08-01,217.47619
2015-09-01,234.27273
2015-10-01,225.90909
2015-11-01,218.90476
2015-12-01,236.65217
2016-01-01,267.05
2016-02-01,282.38095
2016-03-01,226.82609
2016-04-01,210.04762
2016-05-01,207.95455
2016-06-01,209.90909
2016-07-01,184.19048
2016-08-01,169.6087
2016-09-01,161.77273
2016-10-01,146.52381
2016-11-01,167.81818
2016-12-01,164.72727
2017-01-01,157.3
2017-02-01,152.105263157895
2017-03-01,141.086956521739
2017-04-01,149.444444444444
2017-05-01,141.181818181818
2017-06-01,143.5
2017-07-01,141.9
2017-08-01,155.391304347826
2017-09-01,144.0
2017-10-01,139.619047619048
2017-11-01,138.809523809524
2017-12-01,136.15
2018-01-01,116.608695652174
2018-02-01,132.2
2018-03-01,147.045454545455
2018-04-01,145.238095238095
2018-05-01,157.695652173913
2018-06-01,163.333333333333
2018-07-01,150.954545454545
2018-08-01,149.260869565217
2018-09-01,139.9
2018-10-01,142.695652173913
2018-11-01,156.863636363636
2018-12-01,164.809523809524
2019-01-01,152.391304347826
2019-02-01,139.5
2019-03-01,135.666666666667
2019-04-01,122.363636363636
2019-05-01,135.695652173913
2019-06-01,129.15
2019-07-01,116.130434782609
2019-08-01,127.090909090909
2019-09-01,116.428571428571
2019-10-01,126.913043478261
2019-11-01,126.761904761905
2019-12-01,115.909090909091
2020-01-01,113.869565217391
2020-02-01,122.2
2020-03-01,248.909090909091
2020-04-01,277.954545454545
2020-05-01,222.35
2020-06-01,180.136363636364
2020-07-01,169.347826086957
2020-08-01,145.636363636364
2020-09-01,160.409090909091
2020-10-01,150.181818181818
2020-11-01,147.0
2020-12-01,143.304347826087
2021-01-01,131.619047619048
2021-02-01,138.1
2021-03-01,165.086956521739
2021-04-01,164.5
2021-05-01,163.571428571429
2021-06-01,169.227272727273
2021-07-01,170.0
2021-08-01,183.0
2021-09-01,174.0
2021-10-01,171.619047619048
2021-11-01,179.363636363636
2021-12-01,174.304347826087
2022-01-01,176.761904761905
2022-02-01,197.75
2022-03-01,200.739130434783
2022-04-01,186.666666666667
2022-05-01,217.545454545455
2022-06-01,213.545454545455
2022-07-01,235.428571428571
2022-08-01,211.0
2022-09-01,225.273454545455
2022-10-01,242.587095238095
2022-11-01,203.406909090909
2022-12-01,195.5
2023-01-01,207.045454545455
2023-02-01,192.3
2023-03-01,203.826086956522
2023-04-01,201.9
2023-05-01,197.391304347826
2023-06-01,181.090909090909
2023-07-01,168.904761904762
2023-08-01,167.227272727273
2023-09-01,169.095238095238
2023-10-01,179.954545454545
2023-11-01,175.181818181818
2023-12-01,162.428571428571
2024-01-01,170.434782608696
2024-02-01,160.285714285714
2024-03-01,152.666666666667
2024-04-01,153.772727272727
2024-05-01,155.826086956522
2024-06-01,160.9
2024-07-01,158.695652173913
2024-08-01,169.5
2024-09-01,162.578947368421
2024-10-01,153.68
2024-11-01,155.263157894737
2024-12-01,154.380952380952
2025-01-01,156.761904761905
2025-02-01,158.25
2025-03-01,163.354838709677
2025-04-01,177.571428571429
2025-05-01,158.58064516129
2025-06-01,153.833333333333
2025-07-01,140.612903225806
2025-08-01,133.322580645161
2025-09-01,124.107142857143
2025-10-01,123.516129032258
2025-11-01,125.6
2025-12-01,127.0
