fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2012-04-01,394.45928,40.0,14.45928,0.0,13628.6616912462,1673.34909333333,3135.99800823543,4.25,5.31709184145608,3.745,164.14286,5.265,8.43188843464642
2012-05-01,340.0,110.0,0.0,0.0,13931.2918349636,1556.73184833333,3268.39731877037,4.25,5.1611689535073,3.71418181818182,180.52174,5.1938,8.55555282489058
2012-06-01,267.9,0.0,0.0,0.0,13894.1874411945,1523.94363,3344.2814052447,4.25,5.14383563093637,3.59845,188.42857,5.1563,8.60182745997574
2012-07-01,448.97549,66.15,4.00549,0.0,14005.087591844,1474.23764666667,3539.28952601317,4.25,5.02354166666667,3.2648,162.59091,5.1698,8.5929081450795
2012-08-01,140.0,140.0,0.0,0.0,14059.6972803434,1465.60986,3523.76785238881,4.25,4.85419437482595,3.13571428571429,133.13043,5.1906,8.68128951453787
2012-09-01,7.7272,0.0,7.7272,0.0,13853.4215860276,1374.40536666667,3458.53857723782,4.25,4.67659618205868,3.06225,124.0,5.1102,8.72151201615506
2012-10-01,719.26252,511.42,7.84252,0.0,14228.6331172596,1320.37762,3280.73898799435,4.25,4.55363674242424,2.9236,108.04348,5.0611,8.76811775572671
2012-11-01,344.14,144.14,0.0,0.0,14338.337165235,1263.96044,3232.87917584067,4.25,4.45981283452211,2.9668,122.95455,5.0593,8.8966005994144
2012-12-01,229.6663,77.1,9.7563,0.0,13345.0102403209,1062.32974166667,3317.46454500038,4.25,4.16331561657297,3.01164705882353,117.19048,5.0304,9.0631777919402
2013-01-01,250.0,50.0,0.0,0.0,13293.1844065593,1045.59176666667,3284.11530427923,4.25,4.06750469795356,3.08854545454545,110.04348,5.0298,9.04238006585355
