fecha,tasa_corp_mas360_mn
2011-01-01,7.20480825212354
2011-02-01,7.35416964181192
2011-03-01,7.45319066124941
2011-04-01,7.47291946579307
2011-05-01,7.68962700306516
2011-06-01,7.84986533465833
2011-07-01,7.88181011506081
2011-08-01,7.67811464524686
2011-09-01,7.7744779683529
2011-10-01,8.06880722181612
2011-11-01,8.18429932294086
2011-12-01,8.29255426952091
2012-01-01,8.25284590289425
2012-02-01,8.27348386309663
2012-03-01,8.37300111927793
2012-04-01,8.43188843464642
2012-05-01,8.55555282489058
2012-06-01,8.60182745997574
2012-07-01,8.5929081450795
2012-08-01,8.68128951453787
2012-09-01,8.72151201615506
2012-10-01,8.76811775572671
2012-11-01,8.8966005994144
2012-12-01,9.0631777919402
2013-01-01,9.04238006585355
2013-02-01,9.14940540258296
2013-03-01,9.21137994314266
2013-04-01,9.15560271564023
2013-05-01,9.04071529297496
2013-06-01,8.9853489227944
2013-07-01,8.80484910504589
2013-08-01,8.66943327215367
2013-09-01,8.56490763208247
2013-10-01,8.54906118892347
2013-11-01,8.51866990480899
2013-12-01,8.46225460748768
2014-01-01,8.39783279820295
2014-02-01,8.37410848580069
2014-03-01,8.34926199159022
2014-04-01,8.28488301493797
2014-05-01,8.25593549390221
2014-06-01,8.29752109735162
2014-07-01,8.28877174921292
2014-08-01,8.30605360218592
2014-09-01,8.3415644243909
2014-10-01,8.35015609539825
2014-11-01,8.3363985675794
2014-12-01,8.31860821111633
2015-01-01,8.20330799624513
2015-02-01,8.24620644636677
2015-03-01,8.210629086703
2015-04-01,8.10086813334164
2015-05-01,8.10144847599015
2015-06-01,8.07126454169475
2015-07-01,7.9716830509417
2015-08-01,7.91908792812927
2015-09-01,7.91020063074947
2015-10-01,7.87004699148263
2015-11-01,7.87714043536655
2015-12-01,7.89924707101221
2016-01-01,7.90094495650674
2016-02-01,7.92111679006339
2016-03-01,7.96682877995631
2016-04-01,8.02653324572007
2016-05-01,8.05332430208037
2016-06-01,8.05980500628028
2016-07-01,8.07355987597862
2016-08-01,8.10525299480707
2016-09-01,8.14204903341092
2016-10-01,8.19877047542736
2016-11-01,8.23694628022982
2016-12-01,8.2550705470513
2017-01-01,8.28179495378865
2017-02-01,8.32931743428592
2017-03-01,8.37276932880972
2017-04-01,8.44035905120784
2017-05-01,8.45666595004032
2017-06-01,8.454424616211
2017-07-01,8.44411294629431
2017-08-01,8.43404834891398
2017-09-01,8.44522716285084
2017-10-01,8.42541769425409
2017-11-01,8.42632584501934
2017-12-01,8.40796475027092
2018-01-01,8.33453950449729
2018-02-01,8.332922967143
2018-03-01,8.2719700517584
2018-04-01,8.18550089578463
2018-05-01,8.15812519738456
2018-06-01,8.09929298476305
2018-07-01,8.06241536178339
2018-08-01,8.02901926695809
2018-09-01,7.9700014831202
2018-10-01,7.91051162555102
2018-11-01,7.85637030572794
2018-12-01,7.82982951832825
2019-01-01,7.77412480756175
2019-02-01,7.79885572718277
2019-03-01,7.81020891110979
2019-04-01,7.8131751460884
2019-05-01,7.81182226365403
2019-06-01,7.83626268381355
2019-07-01,7.77225596262161
2019-08-01,7.71228944879112
2019-09-01,7.6926466564655
2019-10-01,7.65101237137315
2019-11-01,7.56679301096734
2019-12-01,7.44662178370309
2020-01-01,7.35923135788744
2020-02-01,7.35390734329301
2020-03-01,7.29802047761045
2020-04-01,7.20143184392124
2020-05-01,5.80260325458287
2020-06-01,5.00634998054599
2020-07-01,4.83971287679542
2020-08-01,4.42307239513293
2020-09-01,4.30721669458437
2020-10-01,4.1821950360515
2020-11-01,4.09957895654608
2020-12-01,4.00137293695925
2021-01-01,3.93054875
2021-02-01,3.88365747957866
2021-03-01,3.84142498051546
2021-04-01,3.79115747642998
2021-05-01,3.73745845968402
2021-06-01,3.70401900108905
2021-07-01,3.79669316287069
2021-08-01,3.81270919613097
2021-09-01,3.88117324129765
2021-10-01,3.94905991486097
2021-11-01,4.02097586013207
2021-12-01,4.11394529379854
2022-01-01,4.20262820902694
2022-02-01,4.2906273925101
2022-03-01,4.39096306762848
2022-04-01,4.53163792121834
2022-05-01,4.70692227109288
2022-06-01,4.95452828665271
2022-07-01,5.13409390416655
2022-08-01,5.35904493680998
2022-09-01,5.58356719333656
2022-10-01,5.86119286699759
2022-11-01,6.10406191790094
2022-12-01,6.3692162201999
2023-01-01,6.63189134989598
2023-02-01,6.850617510557
2023-03-01,7.10922194994223
2023-04-01,7.38043153540864
2023-05-01,7.61044798189717
2023-06-01,7.81145511418098
2023-07-01,7.99690744269487
2023-08-01,8.14090107239871
2023-09-01,8.28878510406768
2023-10-01,8.44068972530412
2023-11-01,8.53156476033984
2023-12-01,8.62378590230264
2024-01-01,8.69869046961524
2024-02-01,8.74071778178379
2024-03-01,8.76694823582294
2024-04-01,8.78031366488921
2024-05-01,8.80480909118507
2024-06-01,8.79372542941437
2024-07-01,8.882805081995
2024-08-01,8.92989630054711
2024-09-01,8.96187040666967
2024-10-01,8.7951748787329
2024-11-01,7.44683165341243
2024-12-01,7.47131200827443
2025-01-01,7.49907664706817
2025-02-01,7.52122935000511
2025-03-01,7.55728149897883
2025-04-01,7.52794557568402
2025-05-01,7.55206145805733
2025-06-01,7.54014850637851
2025-07-01,7.54163430944622
2025-08-01,7.56402905364994
2025-09-01,7.56109725841028
2025-10-01,7.55898200976963
2025-11-01,7.54117283637899
2025-12-01,7.44751485314968
