fecha,rend_soberano_10a_usd
2011-01-01,5.165
2011-02-01,5.3764
2011-03-01,5.30634782608696
2011-04-01,5.65989473684211
2011-05-01,5.32847619047619
2011-06-01,5.23528571428572
2011-07-01,5.03678947368421
2011-08-01,4.65814285714286
2011-09-01,4.65722727272727
2011-10-01,4.7062
2011-11-01,4.35095238095238
2011-12-01,4.31715789473684
2012-01-01,4.34477272727273
2012-02-01,4.07966666666667
2012-03-01,3.90677272727273
2012-04-01,3.745
2012-05-01,3.71418181818182
2012-06-01,3.59845
2012-07-01,3.2648
2012-08-01,3.13571428571429
2012-09-01,3.06225
2012-10-01,2.9236
2012-11-01,2.9668
2012-12-01,3.01164705882353
2013-01-01,3.08854545454545
2013-02-01,3.29463157894737
2013-03-01,3.28557894736842
2013-04-01,3.06895454545455
2013-05-01,3.25236363636364
2013-06-01,4.04315789473684
2013-07-01,4.29876190476191
2013-08-01,4.54695238095238
2013-09-01,4.56314285714286
2013-10-01,4.27340909090909
2013-11-01,4.4478
2013-12-01,4.49425
2014-01-01,4.45445454545454
2014-02-01,4.365
2014-03-01,4.16752380952381
2014-04-01,4.01075
2014-05-01,3.83219047619048
2014-06-01,3.78709523809524
2014-07-01,3.73633333333333
2014-08-01,3.69519047619048
2014-09-01,3.79531818181818
2014-10-01,3.74259090909091
2014-11-01,3.654
2014-12-01,3.70204761904762
2015-01-01,3.5399
2015-02-01,3.34735
2015-03-01,3.41931818181818
2015-04-01,3.20913636363636
2015-05-01,3.41675
2015-06-01,3.68176190476191
2015-07-01,3.7191
2015-08-01,3.91719047619048
2015-09-01,4.06622727272727
2015-10-01,3.864
2015-11-01,3.95257142857143
2015-12-01,4.07954545454545
2016-01-01,4.238
2016-02-01,4.0577619047619
2016-03-01,3.50990476190476
2016-04-01,3.22447619047619
2016-05-01,3.22086363636364
2016-06-01,3.06422727272727
2016-07-01,2.6487619047619
2016-08-01,2.54117391304348
2016-09-01,2.60722727272727
2016-10-01,2.75419047619048
2016-11-01,3.41454545454546
2016-12-01,3.71609523809524
2017-01-01,3.49077272727273
2017-02-01,3.3545
2017-03-01,3.29430434782609
2017-04-01,3.22022222222222
2017-05-01,3.17468181818182
2017-06-01,2.99295
2017-07-01,3.11636842105263
2017-08-01,3.00717391304348
2017-09-01,2.89152380952381
2017-10-01,3.01395454545455
2017-11-01,2.99557142857143
2017-12-01,3.04447368421053
2018-01-01,3.11365
2018-02-01,3.593
2018-03-01,3.66215
2018-04-01,3.61835
2018-05-01,3.91371428571429
2018-06-01,3.8928
2018-07-01,3.7164
2018-08-01,3.73752380952381
2018-09-01,3.76705263157895
2018-10-01,3.97654545454545
2018-11-01,4.0345
2018-12-01,3.77252631578947
2019-01-01,3.5215
2019-02-01,3.3507
2019-03-01,3.15290476190476
2019-04-01,3.0446
2019-05-01,2.99745454545455
2019-06-01,2.67335
2019-07-01,2.66909523809524
2019-08-01,2.34045
2019-09-01,2.41766666666667
2019-10-01,2.51552380952381
2019-11-01,2.59395
2019-12-01,2.512
2020-01-01,2.40831818181818
2020-02-01,2.23695
2020-03-01,2.65986363636364
2020-04-01,2.57965
2020-05-01,2.3558
2020-06-01,2.15714285714286
2020-07-01,1.85740909090909
2020-08-01,1.65052380952381
2020-09-01,1.79659090909091
2020-10-01,1.76445454545455
2020-11-01,1.78771428571429
2020-12-01,1.73285714285714
2021-01-01,1.81105
2021-02-01,2.0384
2021-03-01,2.641
2021-04-01,2.70985
2021-05-01,2.75547619047619
2021-06-01,2.66280952380952
2021-07-01,2.4939
2021-08-01,2.57761904761905
2021-09-01,2.60063636363636
2021-10-01,2.75625
2021-11-01,2.85347619047619
2021-12-01,2.80695454545455
2022-01-01,3.09204761904762
2022-02-01,3.4629
2022-03-01,3.5704347826087
2022-04-01,4.16131578947368
2022-05-01,4.56222727272727
2022-06-01,4.77219047619048
2022-07-01,4.74931578947368
2022-08-01,4.53818181818182
2022-09-01,5.26540909090909
2022-10-01,6.02866666666667
2022-11-01,5.48057142857143
2022-12-01,5.17145
2023-01-01,5.21561904761905
2023-02-01,5.3419
2023-03-01,5.34278260869565
2023-04-01,5.19622222222222
2023-05-01,5.24172727272727
2023-06-01,5.24138095238095
2023-07-01,5.2575
2023-08-01,5.58609090909091
2023-09-01,5.81652380952381
2023-10-01,6.32286363636364
2023-11-01,5.93028571428571
2023-12-01,5.22494736842105
2024-01-01,5.4167619047619
2024-02-01,5.53071428571429
2024-03-01,5.50626315789474
2024-04-01,5.85754545454545
2024-05-01,5.76072727272727
2024-06-01,5.63131578947368
2024-07-01,5.5434
2024-08-01,5.1731
2024-09-01,5.02190476190476
2024-10-01,5.36572727272727
2024-11-01,5.6087
2024-12-01,5.67389473684211
2025-01-01,5.90368181818182
2025-02-01,5.74665
2025-03-01,5.59780952380952
2025-04-01,5.6705
2025-05-01,5.60052380952381
2025-06-01,5.51895238095238
2025-07-01,5.5105
2025-08-01,5.3269
2025-09-01,5.11172727272727
2025-10-01,5.07618181818182
2025-11-01,5.1118
2025-12-01,5.09484210526316
