fecha,rend_soberano_10a_pen
2011-01-01,5.84628571428571
2011-02-01,6.01595
2011-03-01,6.35333612040134
2011-04-01,6.94410092633545
2011-05-01,6.72250202228567
2011-06-01,6.45763825900731
2011-07-01,6.23626241920591
2011-08-01,5.92853521749067
2011-09-01,5.62017803787122
2011-10-01,5.72483222108669
2011-11-01,5.66734322961868
2011-12-01,5.6953293398377
2012-01-01,5.6877609398031
2012-02-01,5.55203643226112
2012-03-01,5.40746192764249
2012-04-01,5.31709184145608
2012-05-01,5.1611689535073
2012-06-01,5.14383563093637
2012-07-01,5.02354166666667
2012-08-01,4.85419437482595
2012-09-01,4.67659618205868
2012-10-01,4.55363674242424
2012-11-01,4.45981283452211
2012-12-01,4.16331561657297
2013-01-01,4.06750469795356
2013-02-01,4.15190764118355
2013-03-01,4.14838614187719
2013-04-01,4.05634051937754
2013-05-01,4.20181818181818
2013-06-01,5.31946716260051
2013-07-01,5.26015228899572
2013-08-01,5.46271259667266
2013-09-01,5.60047619047619
2013-10-01,5.31727272727273
2013-11-01,5.467
2013-12-01,5.6055
2014-01-01,5.72
2014-02-01,6.4255
2014-03-01,6.16490476190476
2014-04-01,5.951
2014-05-01,5.64095238095238
2014-06-01,5.37238095238095
2014-07-01,5.177
2014-08-01,5.19790476190476
2014-09-01,5.33545454545455
2014-10-01,5.35995454545454
2014-11-01,5.43935
2014-12-01,5.35971428571429
2015-01-01,5.2966
2015-02-01,5.2855
2015-03-01,5.52668181818182
2015-04-01,5.53809090909091
2015-05-01,5.9019
2015-06-01,6.17166666666667
2015-07-01,6.47165
2015-08-01,6.66319047619047
2015-09-01,7.23577272727273
2015-10-01,7.01072727272727
2015-11-01,6.69261904761905
2015-12-01,6.70786363636364
2016-01-01,7.02015
2016-02-01,7.34585714285714
2016-03-01,7.139
2016-04-01,6.54485714285714
2016-05-01,6.26581818181818
2016-06-01,6.08436363636364
2016-07-01,5.75652380952381
2016-08-01,5.63617391304348
2016-09-01,5.79354545454546
2016-10-01,5.77085714285714
2016-11-01,6.30986363636364
2016-12-01,6.44685714285714
2017-01-01,6.35095454545454
2017-02-01,6.26035
2017-03-01,6.09739130434783
2017-04-01,5.87055555555556
2017-05-01,5.71772727272727
2017-06-01,5.57905
2017-07-01,5.65947368421053
2017-08-01,5.46204347826087
2017-09-01,5.34190476190476
2017-10-01,5.26331818181818
2017-11-01,5.2997619047619
2017-12-01,5.24947368421053
2018-01-01,4.81809523809524
2018-02-01,4.7945
2018-03-01,4.845
2018-04-01,5.0242
2018-05-01,5.47227272727273
2018-06-01,5.6626
2018-07-01,5.48476190476191
2018-08-01,5.4252380952381
2018-09-01,5.5175
2018-10-01,5.73181818181818
2018-11-01,5.727
2018-12-01,5.74363157894737
2019-01-01,5.58772727272727
2019-02-01,5.4945
2019-03-01,5.29923809523809
2019-04-01,5.2158
2019-05-01,5.13735454545455
2019-06-01,4.81719
2019-07-01,4.4401
2019-08-01,4.228985
2019-09-01,4.15212380952381
2019-10-01,4.07454285714286
2019-11-01,4.23969
2019-12-01,4.3559380952381
2020-01-01,4.50230909090909
2020-02-01,4.258095
2020-03-01,5.08725909090909
2020-04-01,5.0255
2020-05-01,4.4295
2020-06-01,4.39
2020-07-01,4.24045454545455
2020-08-01,4.06714285714286
2020-09-01,4.18681818181818
2020-10-01,4.20545454545454
2020-11-01,4.01450476190476
2020-12-01,3.63264285714286
2021-01-01,3.658
2021-02-01,3.9115
2021-03-01,4.68608695652174
2021-04-01,5.09
2021-05-01,4.99
2021-06-01,5.27323809523809
2021-07-01,5.6647
2021-08-01,6.35523809523809
2021-09-01,6.34227272727273
2021-10-01,5.9495
2021-11-01,5.86571428571429
2021-12-01,5.92563636363636
2022-01-01,6.07457142857143
2022-02-01,6.071
2022-03-01,6.59782608695652
2022-04-01,7.37315789473684
2022-05-01,7.92363636363636
2022-06-01,7.858
2022-07-01,8.21631578947368
2022-08-01,7.90872727272727
2022-09-01,8.30590909090909
2022-10-01,8.64571428571429
2022-11-01,7.86476190476191
2022-12-01,7.8615
2023-01-01,7.95952380952381
2023-02-01,7.87935
2023-03-01,7.71669565217391
2023-04-01,7.48888888888889
2023-05-01,7.275
2023-06-01,7.07380952380952
2023-07-01,6.7555
2023-08-01,6.84409090909091
2023-09-01,6.96857142857143
2023-10-01,7.62454545454545
2023-11-01,7.17190476190476
2023-12-01,6.86847368421053
2024-01-01,6.67952380952381
2024-02-01,6.75380952380952
2024-03-01,7.00578947368421
2024-04-01,7.38204545454545
2024-05-01,7.09540909090909
2024-06-01,7.08842105263158
2024-07-01,6.9725
2024-08-01,6.5835
2024-09-01,6.36185714285714
2024-10-01,6.52246818181818
2024-11-01,6.669
2024-12-01,6.62515789473684
2025-01-01,6.69
2025-02-01,6.4725
2025-03-01,6.4852380952381
2025-04-01,6.604
2025-05-01,6.48666666666667
2025-06-01,6.41190476190476
2025-07-01,6.18745
2025-08-01,6.01696
2025-09-01,6.12590909090909
2025-10-01,6.10583636363637
2025-11-01,6.00445
2025-12-01,5.82715789473684
